;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
55;308,8598628;2,343654434;0,008207321;0,001167202;0,1;5;500;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500};0,761242287;0,685300701;0,694483061;0,659750321;0,779942008;0,716143676;0,046270495;1;-7,535339154;-9,581899187;-9,209992593;-10,42962669;-6,531748367;-8,657721198;1,419736571;1
51;186,6616251;4,659407101;0,005404854;0,000490349;0,1;3;500;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500};0,76945762;0,698799786;0,659052964;0,659295837;0,783334227;0,713988087;0,053151765;2;-7,404563892;-9,374138106;-9,729378375;-10,43658999;-6,481209015;-8,685175876;1,491972935;2
54;63,81510811;1,418505745;0,003603172;0,001201057;0,1;5;100;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100};0,757044561;0,679784247;0,689373716;0,648407964;0,773004034;0,709522904;0,047568004;3;-7,601291926;-9,66551627;-9,286685417;-10,60203947;-6,633915606;-8,757889737;1,438977667;3
59;441,3716115;2,591748976;0,01241107;0,00135776;0,1;7;500;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500};0,752194225;0,700422906;0,669739081;0,63277839;0,782046506;0,707436222;0,054062975;4;-7,676792653;-9,348846127;-9,575693269;-10,83512727;-6,500440535;-8,787379971;1,522724353;4
58;87,13288498;1,884015278;0,003803635;0,000400496;0,1;7;100;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100};0,750947391;0,699334118;0,668361122;0,63065449;0,780568066;0,705973038;0,054256291;5;-7,696081295;-9,365819519;-9,595648968;-10,86641566;-6,522450437;-8,809283177;1,525039038;5
39;308,5653665;4,552746654;0,009408522;0,00049033;0,01;5;500;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500};0,747483215;0,685844282;0,67724663;0,633217103;0,77575568;0,703909382;0,051176592;6;-7,74942045;-9,573620193;-9,466229446;-10,82865308;-6,593584826;-8,842301598;1,491363226;6
57;42,08738856;1,852073838;0,003002691;1,78E-07;0,1;7;50;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50};0,747936061;0,696282305;0,664848326;0,626526416;0,776588121;0,702436246;0,054372344;7;-7,742468696;-9,413231883;-9,646334777;-10,92697241;-6,581335084;-8,86206857;1,525642912;7
53;31,61180534;1,206255862;0,002402258;0,000490408;0,1;5;50;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50};0,744505199;0,675172497;0,679592668;0,635700292;0,760013058;0,698996743;0,046356367;8;-7,794982288;-9,734868877;-9,431762505;-10,79193482;-6,821104118;-8,914930521;1,421334048;8
50;38,37327957;1,93773261;0,002802753;0,000748876;0,1;3;100;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100};0,749600667;0,681534132;0,643081186;0,62694391;0,770250622;0,694282103;0,056832801;9;-7,716861094;-9,639070496;-9,954658237;-10,92086325;-6,674028304;-8,981096277;1,553338476;9
43;430,2987882;3,457230626;0,015814161;0,00183462;0,01;7;500;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500};0,715807551;0,690893605;0,656848385;0,622541233;0,778129786;0,692844112;0,052996146;10;-8,221108244;-9,496371699;-9,760782993;-10,98511632;-6,558588355;-9,004393523;1,505518457;10
