;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
51;177,8224858;8,266583912;0,005805445;0,0004004;0,1;3;500;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500};0,690372816;0,723932855;0,706965852;0,691718451;0,765914692;0,715780933;0,027864417;1;-3,333148907;-3,421390163;-3,555974345;-3,517970269;-2,612575316;-3,2882118;0,346619738;2
55;294,6804084;11,57609104;0,011210251;0,00387118;0,1;5;500;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500};0,728662026;0,737228779;0,71363348;0,656371465;0,741716133;0,715522377;0,031088034;2;-3,120257697;-3,337983146;-3,515285671;-3,714180529;-2,744292389;-3,286399886;0,334523416;1
54;57,57024636;0,609029996;0,002802515;0,000400496;0,1;5;100;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100};0,725859478;0,731903638;0,708608206;0,644832973;0,736721017;0,709585062;0,033743511;3;-3,13633029;-3,37163614;-3,545995349;-3,776023765;-2,770702122;-3,320137533;0,345589493;3
39;307,9600034;12,91317105;0,010609627;0,002730029;0,01;5;500;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500};0,69645774;0,724527893;0,710943529;0,636425936;0,748241629;0,703319345;0,03754398;4;-3,300234167;-3,417700921;-3,531757295;-3,820452867;-2,709403584;-3,355909767;0,366499879;4
53;28,72052445;0,418537128;0,002001905;1,91E-07;0,1;5;50;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50};0,719436794;0,718941557;0,69833396;0,628673848;0,726203227;0,698317877;0,036053373;5;-3,172857241;-3,452181005;-3,607968306;-3,860967692;-2,825503855;-3,38389562;0,357437487;5
50;36,14142218;1,287957664;0,003002834;1,78E-07;0,1;3;100;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100};0,677745601;0,699302955;0,679165672;0,657800839;0,747857395;0,692374492;0,030692575;6;-3,400435968;-3,570753089;-3,720830766;-3,706447639;-2,711470346;-3,421987562;0,373538529;6
43;401,2730434;0,607279842;0,013011599;1,17E-07;0,01;7;500;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500};0,65326502;0,701775818;0,666616773;0,622537408;0,748130987;0,678465201;0,043127854;7;-3,527231813;-3,556040249;-3,792899855;-3,89273964;-2,709998879;-3,495782087;0,416636448;7
59;535,002187;74,97508674;0,030827761;0,040639244;0,1;7;500;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500};0,647557655;0,685618152;0,659911282;0,625871699;0,739082703;0,671608298;0,038874571;8;-3,55614299;-3,651102047;-3,83085413;-3,875508376;-2,758247141;-3,534370937;0,405153146;8
49;18,18821359;0,627230162;0,002001953;2,78E-07;0,1;3;50;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50};0,66361228;0,670567589;0,657587263;0,635324643;0,721077248;0,669633804;0,028304757;9;-3,474203399;-3,737475916;-3,843921043;-3,826234712;-2,851830519;-3,546733118;0,371745827;10
58;80,03436298;1,024188254;0,003603411;0,000490524;0,1;7;100;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100};0,645921081;0,683714996;0,657512698;0,622792884;0,737016169;0,669391565;0,039093877;10;-3,564389945;-3,662136611;-3,844339556;-3,891422069;-2,769148618;-3,54628736;0,406361035;9
35;180,0089204;5,079575495;0,00660615;0,001744981;0,01;3;500;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500};0,666549781;0,677455482;0,650347024;0,632123717;0,719096308;0,669114462;0,029308248;11;-3,459000924;-3,698197263;-3,884347873;-3,842990349;-2,861939608;-3,549295203;0,374512944;11
57;40,60863976;0,510158398;0,002802372;0,000400305;0,1;7;50;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50};0,642443609;0,678889003;0,653443944;0,6162063;0,732340254;0,664664622;0,039370573;12;-3,581850433;-3,689969952;-3,867107536;-3,925249977;-2,793658216;-3,571567223;0,407848732;12
63;850,1555744;104,8194858;0,035432053;0,037367955;0,1;9;500;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500};0,596237459;0,621879309;0,566762303;0,544771985;0,739960964;0,613922404;0,068216778;13;-3,806257683;-4,004151137;-4,323770378;-4,274968207;-2,753601024;-3,832549686;0,571191817;13
47;507,9250994;2,202871694;0,021419382;0,003385366;0,01;9;500;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500};0,603395879;0,631569354;0,559224485;0,546309588;0,727018661;0,613503593;0,06446001;14;-3,772365686;-3,952511245;-4,361222397;-4,267742416;-2,821293192;-3,835026987;0,549455994;15
62;111,4417777;4,913125927;0,00709486;0,002563908;0,1;9;100;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100};0,595806331;0,621469158;0,566409181;0,544310102;0,73946835;0,613492624;0,068190007;15;-3,80828926;-4,006322219;-4,325532124;-4,277136389;-2,756207985;-3,834697596;0,570957594;14
61;53,4828341;1,016625558;0,004003477;3,16E-07;0,1;9;50;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 50};0,593770247;0,619997949;0,565350089;0,541942227;0,737898309;0,611791764;0,068309244;16;-3,81786914;-4,01410021;-4,330811688;-4,288234507;-2,764500374;-3,843103184;0,57083487;16
42;86,0385396;1,300520217;0,004204035;0,000400305;0,01;7;100;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100};0,534665064;0,573494557;0,539752402;0,504737282;0,593479455;0,549225752;0,031075222;17;-4,086184802;-4,25262932;-4,45651393;-4,458987113;-3,442888759;-4,139440785;0,375094069;17
56;8,257356644;0,097700488;0,001801825;0,000400353;0,1;7;10;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 10};0,548871222;0,559635096;0,528892203;0,505029874;0,584261639;0,545338007;0,026933806;18;-4,023328007;-4,321172363;-4,50878627;-4,457669777;-3,481703555;-4,158531994;0,37815082;18
38;59,56216092;1,669102248;0,003603458;0,000800729;0,01;5;100;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100};0,529351819;0,583926323;0,529247888;0,491198138;0,564635697;0,539671973;0,032082752;19;-4,109446839;-4,200300485;-4,507083887;-4,519524499;-3,562937051;-4,179858552;0,348831534;19
52;5,826657248;0,077854075;0,001801682;0,0004004;0,1;5;10;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10};0,540395847;0,581357605;0,527959174;0,477564812;0,549994403;0,535454368;0,033912584;20;-4,060945364;-4,213246253;-4,513248885;-4,579674475;-3,622352403;-4,197893476;0,345092389;20
60;10,23924851;0,190501382;0,001801443;0,0004004;0,1;9;10;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 10};0,492361639;0,5724813;0,525064015;0,483270035;0,600358358;0,534707069;0,045318598;21;-4,267881878;-4,257677848;-4,527068242;-4,554599797;-3,413635203;-4,204172593;0,414471199;21
46;103,695636;4,979267185;0,005604839;0,000490252;0,01;9;100;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100};0,506368225;0,577402018;0,520230232;0,480414154;0,582149515;0,533312829;0,04006074;22;-4,208591059;-4,23310411;-4,550047619;-4,56716871;-3,490536604;-4,20988962;0,390221776;22
48;3,539993238;0,014454687;0,001801729;0,000400424;0,1;3;10;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10};0,47875954;0,514830324;0,478278439;0,431904742;0,499483995;0,480651408;0,027958227;23;-4,324682549;-4,535676425;-4,744810754;-4,775611406;-3,820240689;-4,440204365;0,349885152;23
34;39,52127371;1,08293539;0,002402306;0,000490466;0,01;3;100;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100};0,47496221;0,499072712;0,460389002;0,423790516;0,488406853;0,469324258;0,026207109;24;-4,340407007;-4,608744002;-4,825473103;-4,809596025;-3,862283071;-4,489300642;0,359218073;24
64;4,445817423;0,613243394;0,002201939;0,000400233;1;3;10;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 10};0,360696156;0,53079596;0,403994494;0,463937563;0,439262532;0,439737341;0,057275838;25;-4,789485163;-4,460423669;-5,071362313;-4,639018315;-4,043538006;-4,600765493;0,343143719;25
68;20,80368338;5,37651352;0,001801777;0,000400329;1;5;10;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 10};0,511026249;0,506517947;0,410935682;0,432580067;0,299476667;0,432107322;0,077206853;26;-4,188687369;-4,574366123;-5,041744823;-4,772772053;-4,51952761;-4,619419596;0,282635472;26
76;31,32611098;9,697537514;0,00200181;1,78E-07;1;9;10;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 10};0,340799395;0,491787041;0,430550357;0,329889508;0,412365972;0,401078454;0,059875671;27;-4,863444599;-4,64213865;-4,957094125;-5,186705716;-4,139379166;-4,757752451;0,355150928;27
45;51,46584582;0,298124409;0,003202772;0,000400376;0,01;9;50;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 50};0,382768233;0,442959028;0,389032539;0,375529995;0,408847015;0,399827362;0,024247057;28;-4,706080038;-4,860028433;-5,134622784;-5,006960787;-4,151754687;-4,771889346;0,34161396;28
31;526,1430032;5,334420347;0,019217396;0,002484179;0,001;9;500;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 500};0,376940104;0,438338744;0,387449628;0,374413476;0,40806239;0,397040868;0,023811846;29;-4,728246105;-4,880142165;-5,141269939;-5,011434879;-4,154509042;-4,783120426;0,342921345;32
79;233,9681945;30,88993083;0,005204725;0,000980679;1;9;500;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 500};0,336030168;0,484360525;0,430773505;0,324492664;0,40487954;0,396107281;0,05967453;30;-4,881006073;-4,675933422;-4,956122771;-5,207549822;-4,16566347;-4,777255112;0,349920522;29
78;230,4370579;28,18307678;0,004203701;0,000400353;1;9;100;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 100};0,336030165;0,484360526;0,430773503;0,324492664;0,404879539;0,396107279;0,05967453;31;-4,881006083;-4,675933421;-4,956122781;-5,207549822;-4,165663474;-4,777255116;0,349920523;30
